C (48)Ca+(206)Pb -> (254)No                                               
H:  X  Y  '253No  '
C 253No  
  40.0  0.346E-17;  41.2  0.293E-16;  43.9  0.123E-14;  40.0  0.346E-17;
  41.2  0.293E-16;  43.9  0.123E-14;
H:  X  Y  '249Es  '
C 249Es  
  36.6  0.531E-08;  40.0  0.438E-08;  41.2  0.355E-08;  43.9  0.159E-08;
  23.6  0.168E-11;  28.9  0.294E-09;  30.7  0.920E-09;  36.6  0.531E-08;
  40.0  0.438E-08;  41.2  0.355E-08;  43.9  0.159E-08;  40.0  0.438E-08;
  41.2  0.355E-08;  43.9  0.159E-08;
H:  X  Y  '248Es  '
C 248Es  
  36.6  0.105E-08;  40.0  0.532E-08;  41.2  0.774E-08;  43.9  0.136E-07;
  23.6  0.000E+00;  28.9  0.208E-12;  30.7  0.488E-11;  36.6  0.105E-08;
  40.0  0.532E-08;  41.2  0.774E-08;  43.9  0.136E-07;  40.0  0.532E-08;
  41.2  0.774E-08;  43.9  0.136E-07;
H:  X  Y  '247Es  '
C 247Es  
  36.6  0.240E-12;  40.0  0.180E-10;  41.2  0.558E-10;  43.9  0.452E-09;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;  36.6  0.240E-12;
  40.0  0.180E-10;  41.2  0.558E-10;  43.9  0.452E-09;  40.0  0.180E-10;
  41.2  0.558E-10;  43.9  0.452E-09;
H:  X  Y  '246Es  '
C 246Es  
  36.6  0.000E+00;  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.501E-14;
  23.6  0.000E+00;  28.9  0.000E+00;  30.7  0.000E+00;  36.6  0.000E+00;
  40.0  0.000E+00;  41.2  0.000E+00;  43.9  0.501E-14;  40.0  0.000E+00;
  41.2  0.000E+00;  43.9  0.501E-14;
